"Company Country","Job Number","Project Name","Client PO","No of Pages","Net Price","Gross Price",Company,"Due Date","Status Vendor",Invoice,Paid
"United Kingdom",789,"RKH RO(F)",,16,300,300,"Rockhopper Exploration plc","Jun 29,2012","Signed Off Complete",N/A,
"United Kingdom",790,"RKH RO(UK) 2012",,13,300,300,"Rockhopper Exploration plc","Jun 29,2012","Signed Off Complete",N/A,
"United Kingdom",791,"RKH RR 2012",,14,300,300,"Rockhopper Exploration plc","Jun 29,2012","Signed Off Complete",N/A,
"United Kingdom",792,0,0,10,200,200,"Metroven Limited","Jun 29,2012","Signed Off Complete",792,
India,793,"Synbiotix Limited",,1,24.7,24.7,"IRIS Resourcing","Jan 01,1970","Pending Sign-off",N/A,
India,794,"DARLEYCREST INVESTMENTS LIMITED",,18,39,39,"IRIS Resourcing","Jan 01,1970","Pending Sign-off",N/A,
India,795,"Combined Edible Nut Trade Association",,1,24.7,24.7,"IRIS Resourcing","Jan 01,1970","Pending Sign-off",N/A,
"United Kingdom",796,"Red Rose",NJ,29,350,350,"PM+M Solutions for Business LLP","Jul 13,2012",Cancelled,N/A,
"United Kingdom",797,"Red Rose FS",NJ,29,350,350,"PM+M Solutions for Business LLP","Jul 14,2012","Signed Off Complete",1002-27082012-0797,
Ireland,801,"FPE UK 30.09.2011",,11,300,300,"Fidelity Private Equity UK Ltd","Jul 15,2012","Pending Sign-off",1003-27082012-0801,
"United Kingdom",802,Test1,Test1,25,350,350,1Stop,"Jul 15,2012",Cancelled,N/A,
"United Kingdom",805,JTCU,"JUB001 - CJJ",9,200,200,"PM+M Solutions for Business LLP","Jul 18,2012",Cancelled,805,
"United Kingdom",806,test,andrew,9,200,200,"PM+M Solutions for Business LLP","Jul 18,2012",Cancelled,N/A,
"United Kingdom",807,JTCU,"JUB001 - CJJ",9,99,99,"PM+M Solutions for Business LLP","Jul 18,2012","Signed Off Complete",1004-27082012-0807,
"United Kingdom",808,"Enfis 2010",4636,33,560,560,"PhotonStar LED Ltd","Jul 12,2012","Signed Off Complete",1005-27082012-0808,
"United Kingdom",809,"2011 Books",2011,11,225,200,"Abel I.T. Ltd","Jul 18,2012",Cancelled,"809,809,",Paid
"United Kingdom",810,"2011 Books",2011,11,200,175,"Abel I.T. Ltd","Jul 19,2012",Cancelled,N/A,
"United Kingdom",811,"2011 Books",2011,11,200,175,"Abel I.T. Ltd","Jul 19,2012",Cancelled,N/A,
"United Kingdom",812,"2011 Books",2011,12,200,175,"Abel I.T. Ltd","Jul 19,2012","Signed Off Complete",1006-27082012-0812,
,813,Test,123,25,350,350,,"Jul 19,2012",Cancelled,N/A,
,814,test,123,11,225,200,,"Jul 19,2012",Cancelled,N/A,
"United Kingdom",815,test,123,11,225,200,"Abel I.T. Ltd","Jul 19,2012",Cancelled,N/A,
"United Kingdom",816,0,0,31,200,200,"Arnold Clark Automobiles Limited","Jul 25,2012",Cancelled,N/A,
"United Kingdom",817,"Arnold Clark Automobiles Limited ",ST-ACA,31,400,400,"Arnold Clark Automobiles Limited","Jul 25,2012","Signed Off Complete",904,
"United Kingdom",818,"Arnold Clark Finance Limited",ST-ACF,16,300,300,"Arnold Clark Automobiles Limited","Jul 25,2012","Signed Off Complete",904,
"United Kingdom",819,"Arnold Clark Insurance Limited",ST-ACIS,12,300,300,"Arnold Clark Automobiles Limited","Jul 25,2012","Signed Off Complete",904,
"United Kingdom",820,"GTG Training Limited",ST-GTG,13,300,300,"Arnold Clark Automobiles Limited","Jul 25,2012","Signed Off Complete",904,
"United Kingdom",821,"Harry Fairbairn Limited",ST-HF,16,300,300,"Arnold Clark Automobiles Limited","Jul 25,2012","Signed Off Complete",904,
"United Kingdom",822,"Springside 2011","Springside 2011",10,200,200,"Charterhouse Standard Holdings Ltd","Jul 26,2012","Signed Off Complete",1007-27082012-0822,
"United Kingdom",823,"Erin Services",0,18,200,200,"Throgmorton UK Ltd","Jul 28,2012",Cancelled,N/A,
"United Kingdom",824,"Glenview Capital Management Ltd",103,15,200,200,"Throgmorton UK Ltd","Jul 28,2012",Cancelled,"829,827,825,824,826,829,827,824,829,827,825,824,826,829,827,824,829,827,825",
"United Kingdom",825,"Trilogy Global Advisors UK Holdings Limited",104,19,200,200,"Throgmorton UK Ltd","Jul 28,2012",Cancelled,"1627,1626,1625,246,1351,1610,1606,1605,1598,826,1596,825,1591,1590,1589,158",
"United Kingdom",826,"VisVires Capital Limited",105,13,179,179,"Throgmorton UK Ltd","Jul 28,2012","Signed Off Complete",903,Paid
"United Kingdom",827,"Mount Kellett Capital (UK) Holdings Limited",106,20,200,200,"Throgmorton UK Ltd","Jul 28,2012",Cancelled,"829,827,825,824,826,829,827,824,829,827,825,824,826,829,827,824,829,827,825",
"United Kingdom",828,"Erin Services",,19,179,179,"Throgmorton UK Ltd","Jul 29,2012",Cancelled,N/A,
"United Kingdom",829,Erim,829,19,200,200,"Throgmorton UK Ltd","Jul 29,2012",Cancelled,"829,827,825,824,826,829,827,824,829,827,825,824,826,829,827,824,829,827,825",
Netherlands,830,"XBRL OBEM Ltd Annual report 2011",,17,300,300,"Omni Bridgeway Holding B.V.","Jul 29,2012",Cancelled,N/A,
"United Kingdom",831,test,,19,179,179,"Throgmorton UK Ltd","Jul 29,2012",Cancelled,N/A,
"United Kingdom",832,"Glenview Capital Management Ltd",103,15,179,179,"Throgmorton UK Ltd","Jul 29,2012","Submitted To Billing",903,Paid
"United Kingdom",833,"Trilogy Global Advisors UK Holdings Limited",104,19,179,179,"Throgmorton UK Ltd","Jul 29,2012","Submitted To Billing",903,Paid
"United Kingdom",834,"Mount Kellett Capital (UK) Holdings Limited",106,20,179,179,"Throgmorton UK Ltd","Jul 29,2012","Submitted To Billing",903,Paid
"United Kingdom",835,Erim,,18,179,179,"Throgmorton UK Ltd","Jul 29,2012","Submitted To Billing",903,Paid
,836,test,ff,19,300,300,,"Jul 29,2012",Cancelled,N/A,
"United Kingdom",837,test,111111,22,198,179,1Stop,"Jul 29,2012",Cancelled,N/A,
Netherlands,838,"Annual account 2011 OBEM Ltd ",,16,300,300,"Omni Bridgeway Holding B.V.","Aug 01,2012",Cancelled,838,
Netherlands,839,"Test Ignore, Andrew Stewart",,17,300,300,"Omni Bridgeway Holding B.V.","Aug 01,2012",Cancelled,N/A,
Netherlands,840,"Test Ignore Andrew Stewart 2",,17,179,179,"Omni Bridgeway Holding B.V.","Aug 01,2012",Cancelled,N/A,
Netherlands,841,"Test Ignore Andrew Stewart 3",,17,179,179,"Omni Bridgeway Holding B.V.","Aug 01,2012",Cancelled,N/A,
Netherlands,842,"test Ignore Andrew Stewart 4",,17,179,179,"Omni Bridgeway Holding B.V.","Aug 01,2012",Cancelled,N/A,
Netherlands,843,"Annual account 2011 OBEM Ltd ",,17,179,179,"Omni Bridgeway Holding B.V.","Aug 01,2012","Signed Off Complete",1008-27082012-0843,
,844,test,,17,300,300,,"Aug 01,2012",Cancelled,N/A,
"United Kingdom",846,"test by Andrew Stewart, Ignore",11111,19,240,240,"French Duncan Chartered Accountants","Aug 03,2012",Cancelled,N/A,
"United Kingdom",847,"test ignore Andrew Stewart",,17,240,240,"French Duncan Chartered Accountants","Aug 03,2012",Cancelled,N/A,
"United Kingdom",848,"test ignore Andrew Stewart",1111,17,240,240,"French Duncan Chartered Accountants","Aug 03,2012",Cancelled,N/A,
"United Kingdom",850,"GGSL 2011",,28,399,399,"Global Graphics Software Ltd","Aug 03,2012",Cancelled,850,
"United Kingdom",851,"GGSL 2011",none,28,399,399,"Global Graphics Software Ltd","Aug 03,2012",Cancelled,N/A,
"United Kingdom",852,"test Andrew ignore",,34,399,399,"Global Graphics Software Ltd","Aug 03,2012",Cancelled,N/A,
"United Kingdom",853,"test 2",,25,350,350,"Global Graphics Software Ltd","Aug 03,2012",Cancelled,N/A,
"United Kingdom",854,"test 3",,23,350,350,"Global Graphics Software Ltd","Aug 03,2012",Cancelled,N/A,
"United Kingdom",855,"Test 4",,34,400,400,"Global Graphics Software Ltd","Aug 03,2012",Cancelled,N/A,
"United Kingdom",857,"GGSL 2011",none,28,350,350,"Global Graphics Software Ltd","Aug 04,2012","Signed Off Complete",1009-27082012-0857,Paid
"United Kingdom",858,"RKH 2012",WRP,13,300,300,"Rockhopper Exploration plc","Aug 04,2012","Signed Off Complete",1010-27082012-0858,Paid
"United Kingdom",859,test,,13,179,179,1Stop,"Aug 04,2012",Cancelled,N/A,
"United Kingdom",860,"test gateway",,13,179,179,1Stop,"Aug 04,2012",Cancelled,N/A,
"United Kingdom",861,"Picus Services Ltd",109,12,179,179,"Throgmorton UK Ltd","Aug 04,2012","Submitted To Billing",861,Paid
"United Kingdom",862,"ACP Europe Ltd",110,20,179,179,"Throgmorton UK Ltd","Aug 05,2012","Submitted To Billing","1511,862,1509,459,460,1117,1118,1082,",Paid
"United Kingdom",863,www,,23,399,399,1Stop,"Aug 05,2012",Cancelled,N/A,
"United Kingdom",864,Clovian,,9,225,200,"KF Accountancy Limited","Aug 06,2012","Signed Off Complete",1013-27082012-0864,Paid
"United Kingdom",865,"test gateway",,34,399,399,1Stop,"Aug 07,2012",Cancelled,N/A,
"United Kingdom",867,"Charterhouse Standard Holdings Ltd",,11,300,300,"Charterhouse Standard Holdings Ltd","Aug 09,2012","Pending Sign-off",1014-27082012-0867,
"United Kingdom",868,"Broomhouse HA Ltd",B304,24,280,280,"French Duncan Chartered Accountants","Aug 10,2012","Signed Off Complete",1015-27082012-0868,
"United Kingdom",869,"2011 Year End",CD010812,20,300,300,"Saville Heaton & Co Ltd","Aug 10,2012","Signed Off Complete",1016-27082012-0869,
"United Kingdom",870,"test again upload",,24,399,399,1Stop,"Aug 10,2012",Cancelled,N/A,
"United Kingdom",872,"test with ixbrl",,34,399,399,1Stop,"Aug 10,2012",Cancelled,N/A,
"United Kingdom",874,,,23,0,0,1Stop,"Aug 10,2012",Cancelled,"591,591,1190,1190,1189,1189,1188,1188,1187,1187,1184,1184,1183,1183,1179,11",
"United Kingdom",875,,,23,399,399,1Stop,"Aug 10,2012",Cancelled,N/A,
"United Kingdom",877,"Test JOb POst ",,24,279.3,279.3,"Cr8v Web Solutions, inc.","Aug 10,2012",Cancelled,"885,884,877,",Paid
,878,"test Job post",,3,200,200,,"Aug 10,2012",Cancelled,N/A,
"United Kingdom",879,"Renshaw Bay (UK) Limited",111,23,399,399,"Throgmorton UK Ltd","Aug 10,2012","Submitted To Billing","1447,891,1425,879,1422,880,890,893,888,1417,",Paid
"United Kingdom",880,"LBV (UK) Limited",794,15,179,179,"Throgmorton UK Ltd","Aug 10,2012","Signed Off Complete","1447,891,1425,879,1422,880,890,893,888,1417,",Paid
"United Kingdom",881,"Sample job number 2",,3,69.3,69.3,"Cr8v Web Solutions, inc.","Aug 10,2012",Cancelled,N/A,
"United Kingdom",882,"Sample Job number 3 without ixbrl file",,3,69.3,69.3,"Cr8v Web Solutions, inc.","Aug 10,2012",Cancelled,N/A,
"United Kingdom",883,"Sample job number 4 with input file",,3,69.3,69.3,"Cr8v Web Solutions, inc.","Aug 10,2012",Cancelled,N/A,
"United Kingdom",884,"test job, updated file restriction",,12,125.3,125.3,"Cr8v Web Solutions, inc.","Aug 10,2012",Cancelled,"885,884,877,",Paid
"United Kingdom",885,"Complete File upload",,3,69.3,69.3,"Cr8v Web Solutions, inc.","Aug 10,2012",Cancelled,1316-18122012-0885,Paid
"United Kingdom",886,OOSD2011,,20,200,200,"Monique Law","Aug 11,2012","Pending Sign-off",1019-27082012-0886,Paid
"United Kingdom",887,"GoldenTree Asset Management UK Service Co. Limited",113,20,179,179,"Throgmorton UK Ltd","Aug 12,2012","Pending Sign-off","1627,1626,1625,246,1351,1610,1606,1605,1598,826,1596,825,1591,1590,1589,158",Paid
"United Kingdom",888,"Mariner Europe Limited",114,18,179,179,"Throgmorton UK Ltd","Aug 12,2012","Submitted To Billing","1447,891,1425,879,1422,880,890,893,888,1417,",Paid
"United Kingdom",889,"Harvard 2012 IXBRL",MB05/12,23,350,350,"Harvard Engineering Plc","Aug 12,2012","Pending Sign-off",1022-27082012-0889,
"United Kingdom",890,"Silver Creek Capital UK Holdings Limited",115,21,399,399,"Throgmorton UK Ltd","Aug 12,2012","Pending Sign-off","1447,891,1425,879,1422,880,890,893,888,1417,",Paid
"United Kingdom",891,"Tricadia Europe Limited",116,17,179,179,"Throgmorton UK Ltd","Aug 12,2012","Submitted To Billing","1447,891,1425,879,1422,880,890,893,888,1417,",Paid
"United Kingdom",892,"WiMAC 2012 IXBRL",MB06/12,12,300,300,"Harvard Engineering Plc","Aug 12,2012","Pending Sign-off",1025-27082012-0892,
"United Kingdom",893,"RS FURBS Limited",117,16,179,179,"Throgmorton UK Ltd","Aug 12,2012","Submitted To Billing","1447,891,1425,879,1422,880,890,893,888,1417,",Paid
"United Kingdom",894,"RTR Dec 2010",,16,250.6,250.6,"NEP Visions","Aug 08,2012","Pending Sign-off",1027-27082012-0894,Paid
"United Kingdom",895,"NEP UK Investments Dec 2010",,20,250.6,250.6,"NEP Visions","Aug 08,2012","Pending Sign-off",1028-27082012-0895,Paid
"United Kingdom",896,"NEP Visions Dec 2010",,20,420,420,"NEP Visions","Aug 08,2012","Pending Sign-off",1029-27082012-0896,Paid
,897,"Supplementary Charge",,20,300,300,,"Aug 12,2012",Cancelled,897,
"United Kingdom",898,"Supplementary Charge","Andrew Stewart",20,300,300,"NEP Visions","Aug 12,2012","Pending Sign-off",1030-27082012-0898,Paid
"United Kingdom",899,"JSL 2011",none,14,300,300,"Global Graphics Software Ltd","Aug 16,2012","Signed Off Complete",1031-27082012-0899,Paid
,900,"Tax Comp","Supplemental Charge",1,35,35,,"Aug 18,2012",Cancelled,N/A,
"United Kingdom",901,"Tax Comp","Andrew Stewart",1,35,35,"Monique Law","Aug 18,2012",Cancelled,N/A,
"United Kingdom",902,"Accounts 2011",2011,22,350,350,"Payden & Rygel Global Ltd","Aug 24,2012","Pending Sign-off",1032-27082012-0902,Paid
"United Kingdom",903,"Blakell Europlacer (INTL) Ltd 2011","BEI 2011",9,200,200,"Blakell Europlacer Limited","Aug 26,2012","Signed Off Complete",1033-27082012-0903,Paid
"United Kingdom",904,"Supplemental charge Andrew Stewart","16 pages instead of 9 ",9,100,100,"Blakell Europlacer Limited","Aug 26,2012","Pending Sign-off",1034-27082012-0904,Paid
"United Kingdom",905,"Speed Print Technology Ltd 2011","SPT 2011",14,300,300,"Blakell Europlacer Limited","Aug 26,2012","Signed Off Complete",1035-27082012-0905,Paid
"United Kingdom",906,"AGR Autmoation Ltd 2011","AGR 2011",19,300,300,"Blakell Europlacer Limited","Aug 26,2012","Signed Off Complete",1036-27082012-0906,Paid
"United Kingdom",907,"Blakell Europlacer Ltd 2011","BEL 2011",36,400,400,"Blakell Europlacer Limited","Aug 26,2012","Signed Off Complete",1037-27082012-0907,Paid
Switzerland,908,"Createworld 2011","Createworld 2011",9,99,99,"Rawlinson & Hunter Audit SA","Aug 29,2012","Signed Off Complete",1038-27082012-0908,
Switzerland,909,"Createworld 2012","Createworld 2012",9,99,99,"Rawlinson & Hunter Audit SA","Aug 29,2012","Signed Off Complete",1039-27082012-0909,
"United Kingdom",910,"Viking Global Investors Europe Management Limited 2011",118,20,179,179,"Throgmorton UK Ltd","Aug 30,2012","Submitted To Billing",910,Paid
"United Kingdom",911,"Bell Heather",789,10,99,99,"Throgmorton UK Ltd","Aug 30,2012","Submitted To Billing",911,Paid
"United Kingdom",912,"Quartz Rock",108,10,99,99,"Throgmorton UK Ltd","Aug 30,2012","Submitted To Billing",912,Paid
"United Kingdom",913,"Universal Balancing Ltd",,10,200,200,"Roverth Ltd","Sep 01,2012","Signed Off Complete",1043-27082012-0913,Paid
"United Kingdom",914,"Equilibrium Industries ltd",,10,200,200,"Roverth Ltd","Sep 01,2012","Signed Off Complete",1044-27082012-0914,Paid
"United Kingdom",915,"Reidvale HA ",R054,30,280,280,"French Duncan Chartered Accountants","Sep 07,2012","Signed Off Complete",1051-29082012-0915,
"United Kingdom",916,"Axia Advisors Limited",119,11,179,179,"Throgmorton UK Ltd","Sep 07,2012","Pending Sign-off","940,939,919,918,916",Paid
"United Kingdom",917,INT011,INT011/RAA/DW,39,399,399,"PM+M Solutions for Business LLP","Sep 07,2012","Pending Sign-off",1050-29082012-0917,
"United Kingdom",918,"Throg UK 2011",120,14,179,179,"Throgmorton UK Ltd","Sep 08,2012","Pending Sign-off","940,939,919,918,916",
"United Kingdom",919,"Tricorn Corporate Member Limited",121,8,99,99,"Throgmorton UK Ltd","Sep 08,2012","Pending Sign-off","940,939,919,918,916",
"United Kingdom",920,"BT Pension Scheme Management Limited",2,14,225,225,"Hermes Finance","Sep 09,2012","Signed Off Complete",1052-31082012-0920,
"United Kingdom",921,"Hermes Administration Services Limited ",3,14,225,225,"Hermes Finance","Sep 09,2012","Signed Off Complete",1053-31082012-0921,
"United Kingdom",922,test,,22,350,350,1Stop,"Sep 09,2012",Cancelled,N/A,
India,923,2,,23,350,350,f,"Sep 09,2012",Cancelled,1054-31082012-0923,
"United Kingdom",924,"vat test",,10,240,240,1Stop,"Sep 09,2012",Cancelled,1057-31082012-0924,
"United Kingdom",925,vat2,,23,420,420,1Stop,"Sep 09,2012",Cancelled,1059-31082012-0925,
"United Kingdom",926,"Hermes Asset Management Limited",4,13,270,270,"Hermes Finance","Sep 12,2012","Signed Off Complete",1061-03092012-0926,
"United Kingdom",927,"Hermes Assured Limited",5,13,270,270,"Hermes Finance","Sep 12,2012","Signed Off Complete",1063-03092012-0927,
"United Kingdom",928,"Hermes Equity Ownership Services Limited",6,15,270,270,"Hermes Finance","Sep 12,2012","Signed Off Complete",1064-03092012-0928,
"United Kingdom",929,"Hermes Focus Asset Management Europe Limited",7,16,270,270,"Hermes Finance","Sep 12,2012","Signed Off Complete",1065-03092012-0929,
"United Kingdom",930,"Hermes Focus Asset Management Limited",8,19,270,270,"Hermes Finance","Sep 12,2012","Signed Off Complete",1066-03092012-0930,
"United Kingdom",931,"Hermes Fund Managers Limited",9,62,513,513,"Hermes Finance","Sep 12,2012","Signed Off Complete",1067-03092012-0931,
"United Kingdom",932,"vat test",,23,420,420,1Stop,"Sep 12,2012",Cancelled,1060-03092012-0932,
"United Kingdom",933,"Hermes Investment Management Limited ",10,17,270,270,"Hermes Finance","Sep 12,2012","Signed Off Complete",1068-03092012-0933,
"United Kingdom",934,"Hermes Investments (North America) Limited ",11,15,270,270,"Hermes Finance","Sep 12,2012","Signed Off Complete",1069-03092012-0934,
"United Kingdom",935,"Hermes Private Equity Limited ",12,15,270,270,"Hermes Finance","Sep 12,2012","Signed Off Complete",1070-03092012-0935,
"United Kingdom",936,"Hermes Real Estate Investment Management Limited",13,19,270,270,"Hermes Finance","Sep 12,2012","Signed Off Complete",1071-03092012-0936,
"United Kingdom",937,"Hermes Sourcecap Limited",14,21,315,315,"Hermes Finance","Sep 12,2012","Signed Off Complete",1072-03092012-0937,
"United Kingdom",938,"MEPC HPE Limited ",16,13,270,270,"Hermes Finance","Sep 12,2012","Signed Off Complete",1073-03092012-0938,
"United Kingdom",939,"Realm Partners UK Services Limited",122,20,214.8,214.8,"Throgmorton UK Ltd","Sep 13,2012","Pending Sign-off","940,939,919,918,916",
"United Kingdom",940,"NGMN Limited",940,16,214.8,214.8,"Throgmorton UK Ltd","Sep 15,2012","Signed Off Complete","940,939,919,918,916",
"United Kingdom",941,"Statuary Accounts 2011",SA2011,21,420,420,"Samsung Techwin Europe Ltd.","Sep 16,2012","Signed Off Complete",1076-07092012-0941,
"United Kingdom",942,"Argent Group Plc",66,21,315,315,"Argent (Property Development) Services LLP","Sep 16,2012","Signed Off Complete",1077-07092012-0942,
"United Kingdom",943,"Argent Estates Limited",67,17,270,270,"Argent (Property Development) Services LLP","Sep 16,2012","Signed Off Complete",1078-07092012-0943,
"United Kingdom",944,"Argent (King's Cross) Limited",68,12,270,270,"Argent (Property Development) Services LLP","Sep 16,2012","Signed Off Complete",1079-07092012-0944,
"United Kingdom",945,"Argent Brindleyplace Investment Limited",69,12,270,270,"Argent (Property Development) Services LLP","Sep 16,2012","Signed Off Complete",1080-07092012-0945,
"United Kingdom",946,"Argent King's Cross GP Limited",70,12,270,270,"Argent (Property Development) Services LLP","Sep 16,2012","Signed Off Complete",1081-07092012-0946,
"United Kingdom",947,"King's Cross Central General Partner Limited",71,6,180,180,"Argent (Property Development) Services LLP","Sep 16,2012","Signed Off Complete",1082-07092012-0947,
Ireland,948,"Cylon Controls (UK) Ltd FY11 a/cs",POUK0178,18,0,0,"Cylon Controls (UK) Ltd","Sep 19,2012","Signed Off Complete",1084-10092012-0948,
"United Kingdom",949,"Forth Medical December 2011","Forth Dec 11",15,360,360,"Forth Medical Ltd","Sep 20,2012","Pending Sign-off",1085-11092012-0949,
"United Kingdom",950,"Forth Medical December 2011","Forth Dec 11",15,360,360,"Forth Medical Ltd","Sep 20,2012",Cancelled,N/A,
"United Kingdom",951,"Northstar Orthopaedics December 2011","Northstar Dec 11",15,360,360,"Forth Medical Ltd","Sep 20,2012","Pending Sign-off",1087-11092012-0951,
"United Kingdom",952,"invoice test",,16,360,360,1Stop,"Sep 20,2012",Cancelled,N/A,
"United Kingdom",953,"Pulse Surgical 31 December 2011","Pulse December 2011",14,360,360,"Forth Medical Ltd","Sep 20,2012","Pending Sign-off",1089-11092012-0953,
"United Kingdom",954,"Fannin Medical Devices (UK) Ltd 31 December 2011","FMD Ltd Dec 11",15,360,360,"Forth Medical Ltd","Sep 20,2012","Pending Sign-off",1088-11092012-0954,
"United Kingdom",955,Loadlok,LOA001/CJA/JP,19,214.8,214.8,"PM+M Solutions for Business LLP","Sep 21,2012",Cancelled,1091-12092012-0955,
"United Kingdom",956,"upload new job",,23,420,420,1Stop,"Sep 22,2012",Cancelled,N/A,
"United Kingdom",957,"TDF (UK) Limited 2011",124,10,118.8,118.8,"Throgmorton UK Ltd","Sep 22,2012","Pending Sign-off","973,958,957,246,564,919,918,916,",
"United Kingdom",958,"Grenthon Limited 2011",125,9,118.8,118.8,"Throgmorton UK Ltd","Sep 23,2012","Signed Off Complete","973,958,957,246,564,919,918,916,",
"United Kingdom",959,"General Partner No.1 Limited",25,6,0,0,"Hermes GPE LLP","Sep 23,2012","Signed Off Complete",1092-14092012-0959,
"United Kingdom",960,"General Partner No.2 Limited",26,12,0,0,"Hermes GPE LLP","Sep 23,2012","Signed Off Complete",1093-14092012-0960,
"United Kingdom",961,"HPE Environmental Innovation GP Limited",24,12,270,270,"Hermes GPE LLP","Sep 23,2012","Signed Off Complete",1094-14092012-0961,
"United Kingdom",962,"Hermes GPE 2011-2013 GP Limited",27,12,270,270,"Hermes GPE LLP","Sep 23,2012","Signed Off Complete",1095-14092012-0962,
"United Kingdom",963,"HPE GP Limited",23,11,270,270,"Hermes GPE LLP","Sep 23,2012","Signed Off Complete",1096-14092012-0963,
"United Kingdom",964,"HPE Scotland GP Limited",20,12,270,270,"Hermes GPE LLP","Sep 23,2012","Signed Off Complete",1097-14092012-0964,
"United Kingdom",965,"Hermes UOB Capital Management Limited",17,15,270,270,"Hermes GPE LLP","Sep 23,2012","Signed Off Complete",1098-14092012-0965,
"United Kingdom",966,"Hermes UOB General Partner Limited",18,14,270,270,"Hermes GPE LLP","Sep 23,2012","Signed Off Complete",1099-14092012-0966,
"United Kingdom",967,"Hermes UOB SLP General Partner Limited",19,12,270,270,"Hermes GPE LLP","Sep 23,2012","Signed Off Complete",1100-14092012-0967,
"United Kingdom",968,"tax computation",sf,2,282,240,"k sellwood","Sep 23,2012",Cancelled,968,
"United Kingdom",969,"tax computation",sf,2,90,48,"k sellwood","Sep 23,2012",Cancelled,N/A,
"United Kingdom",970,,,23,420,420,1Stop,"Sep 23,2012",Cancelled,N/A,
"United Kingdom",971,"Tax Computation",SF,1,48,48,"k sellwood","Sep 23,2012","Pending Sign-off",1101-14092012-0971,Paid
"United Kingdom",972,"2011 Trading Company Financials and tax comp",wspatrading11,7,282,240,WSPA,"Sep 23,2012","Pending Sign-off",1103-14092012-0972,
"United Kingdom",973,"Liljefors Limited 2011",126,10,118.8,118.8,"Throgmorton UK Ltd","Sep 23,2012","Signed Off Complete","973,958,957,246,564,919,918,916,",
"United Kingdom",974,"2010 WSPA Trading finacials and tax comp",wspatrading2010,7,282,240,WSPA,"Sep 23,2012","Pending Sign-off",1102-14092012-0974,
"United Kingdom",975,"Tax Computation","P & L Gloucester",6,42,42,"CCH & Co.","Sep 24,2012","Signed Off Complete",1105-17092012-0975,Paid
"United Kingdom",976,"PLW Ltd 2010","PL 2",23,0,-60,"CCH & Co.","Sep 24,2012","Signed Off Complete",1109-17092012-0976,Paid
"United Kingdom",977,"REG 2010",PL3,25,0,-42,"CCH & Co.","Sep 24,2012","Signed Off Complete",1110-17092012-0977,Paid
"United Kingdom",978,"Tax Computation",1,2,42,0,1Stop,"Sep 24,2012",Cancelled,N/A,
"United Kingdom",979,"2011 Accounts",,15,360,360,"Abbey Tours Scotland Ltd","Sep 26,2012","Pending Sign-off",1106-17092012-0979,Paid
"United Kingdom",980,"Maltby Capital Limited",MCL,19,360,360,"Terra Firma Capital Partners Limited","Sep 26,2012","Pending Sign-off",1107-17092012-0980,
"United Kingdom",981,"Maltby Holdings Limited",MHL,16,360,360,"Terra Firma Capital Partners Limited","Sep 26,2012","Pending Sign-off",1108-17092012-0981,
"United Kingdom",982,"Supplementary Charge Jobs 976 & 977","Andrew Stewart",10,292.8,292.8,"CCH & Co.","Sep 26,2012","Pending Sign-off",1114-18092012-0982,Paid
"United Kingdom",983,"PL REW 2010",PL4,24,42,0,"CCH & Co.","Sep 26,2012","Signed Off Complete",1113-18092012-0983,Paid
"United Kingdom",984,"Tax Comp Matby Capital Ltd","Andrew Stewart",2,42,0,"Terra Firma Capital Partners Limited","Sep 27,2012","Pending Sign-off",1112-18092012-0984,
"United Kingdom",985,"Tax Comp Maltby Holdings Ltd","Andrew Stewart",2,42,0,"Terra Firma Capital Partners Limited","Sep 27,2012","Pending Sign-off",1111-18092012-0985,
"United Kingdom",986,"Supplementary Charge Job 983","Andrew Stewart",12,214.8,214.8,"CCH & Co.","Sep 27,2012","Pending Sign-off",1117-18092012-0986,Paid
"United Kingdom",987,"Sunningdale Partners Limited",Sunningdale,8,240,240,"Cordium Accounting Limited","Sep 27,2012","Signed Off Complete",1115-18092012-0987,
"United Kingdom",988,"PL Wisbech BV 2010",PL5,18,256.8,214.8,"CCH & Co.","Sep 27,2012","Pending Sign-off",1116-18092012-0988,Paid
"United Kingdom",989,"Arrowgrass UK Ltd ",127,26,478.8,478.8,"Throgmorton UK Ltd","Sep 27,2012","Signed Off Complete","1103,406,405,1094,1093,1092,1091,1090,422,1088,1087,1086,1085,1084,338,1082",
"United Kingdom",990,"Baker Steel Ltd ",128,19,214.8,214.8,"Throgmorton UK Ltd","Sep 27,2012","Pending Sign-off","1103,406,405,1094,1093,1092,1091,1090,422,1088,1087,1086,1085,1084,338,1082",
"United Kingdom",991,"Highland Capital ",129,19,214.8,214.8,"Throgmorton UK Ltd","Sep 27,2012","Pending Sign-off",N/A,
"United Kingdom",992,"Beagle Ltd ",130,19,214.8,214.8,"Throgmorton UK Ltd","Sep 27,2012","Pending Sign-off","1103,406,405,1094,1093,1092,1091,1090,422,1088,1087,1086,1085,1084,338,1082",
"United Kingdom",993,"Inflation-Linked GP Ltd",43,11,270,270,"Hermes Real Estate Investment Management Limited","Sep 27,2012","Signed Off Complete",1118-19092012-0993,
"United Kingdom",994,"Inflation-Linked Properties GP Ltd",44,11,270,270,"Hermes Real Estate Investment Management Limited","Sep 27,2012","Signed Off Complete",1119-19092012-0994,
